日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/10/29,"27,588,985","1,062,379,411",39.00,39.35,37.55,37.90,-0.20,"13,223"
108/10/30,"8,010,778","303,812,164",38.00,38.25,37.55,38.00,+0.10,"3,476"
108/10/31,"9,395,351","356,936,274",38.05,38.25,37.60,38.25,+0.25,"4,700"
108/11/01,"6,822,323","257,642,395",38.00,38.05,37.55,37.80,-0.45,"3,207"
108/11/04,"8,296,164","314,049,847",38.00,38.30,37.55,37.90,+0.10,"4,565"
108/11/05,"5,512,315","208,136,352",37.90,38.10,37.60,37.85,-0.05,"2,907"
108/11/06,"9,971,974","372,351,567",37.90,37.95,36.75,37.30,-0.55,"4,801"
108/11/07,"7,571,072","280,396,834",37.60,37.75,36.75,36.75,-0.55,"3,689"
108/11/08,"7,496,990","280,056,072",36.85,37.75,36.85,37.45,+0.70,"4,084"
108/11/11,"19,957,746","752,829,115",38.45,38.80,36.80,36.85,-0.60,"8,641"
108/11/12,"40,187,578","1,554,367,328",37.30,39.50,37.20,39.50,+2.65,"15,125"
108/11/13,"16,573,550","640,362,881",39.40,39.40,38.05,38.80,-0.70,"8,183"
108/11/14,"16,729,314","631,412,006",38.45,38.50,37.35,37.50,-1.30,"7,249"
108/11/15,"6,467,311","243,649,758",37.85,38.05,37.30,37.35,-0.15,"3,309"
108/11/18,"8,143,615","309,297,223",37.70,38.20,37.60,38.20,+0.85,"3,497"
108/11/19,"24,661,932","948,354,970",38.55,39.40,37.65,37.65,-0.55,"10,748"
108/11/20,"7,587,677","286,849,535",37.75,38.10,37.40,38.00,+0.35,"3,451"
108/11/21,"6,799,189","257,562,222",37.60,38.25,37.55,38.25,+0.25,"3,218"
108/11/22,"4,747,628","180,740,020",38.25,38.40,37.85,37.95,-0.30,"2,407"
108/11/25,"5,363,073","202,464,991",38.00,38.20,37.55,37.70,-0.25,"2,829"
108/11/26,"8,793,664","329,489,828",37.85,38.00,37.20,37.20,-0.50,"4,736"
108/11/27,"7,201,344","267,603,078",37.45,37.55,37.00,37.00,-0.20,"3,384"
108/11/28,"5,750,920","215,237,155",37.10,37.65,37.10,37.50,+0.50,"2,596"
108/11/29,"8,831,196","326,757,205",37.55,37.55,36.60,36.90,-0.60,"3,919"
108/12/02,"8,150,869","296,164,150",36.90,37.10,36.00,36.25,-0.65,"4,057"
108/12/03,"7,972,127","287,419,524",35.80,36.40,35.80,36.05,-0.20,"3,682"
108/12/04,"6,692,813","241,268,721",35.85,36.35,35.85,36.20,+0.15,"3,238"
108/12/05,"9,429,585","347,484,218",36.40,37.25,36.30,37.15,+0.95,"4,355"
108/12/06,"9,723,346","362,253,312",37.25,37.75,37.00,37.20,+0.05,"4,631"
108/12/09,"11,461,001","433,597,923",37.75,38.20,37.35,37.80,+0.60,"4,711"
108/12/10,"8,147,218","310,082,992",37.80,38.40,37.45,38.40,+0.60,"3,788"
108/12/11,"8,830,096","336,690,598",38.60,38.65,37.90,38.05,-0.35,"4,277"
108/12/12,"11,335,620","432,197,057",38.10,38.40,37.95,38.05, 0.00,"3,974"
108/12/13,"24,184,759","930,892,865",38.20,38.90,37.95,38.60,+0.55,"8,813"
108/12/16,"9,846,332","379,791,765",38.80,38.85,38.00,38.70,+0.10,"4,397"
108/12/17,"11,341,500","442,765,850",38.75,39.40,38.60,39.00,+0.30,"5,460"
108/12/18,"8,536,402","330,748,649",38.90,39.15,38.40,38.85,-0.15,"4,045"
108/12/19,"5,583,693","217,592,882",39.20,39.25,38.80,38.95,+0.10,"2,630"
108/12/20,"11,368,093","440,713,717",39.10,39.20,38.45,38.45,-0.50,"4,637"
108/12/23,"12,198,764","462,088,497",38.45,38.55,37.50,37.60,-0.85,"4,822"
108/12/24,"10,701,563","402,215,648",37.85,37.95,37.20,37.75,+0.15,"5,125"
